date_ym,emp_01,emp_02,emp_03,emp_04,emp_05,emp_06,emp_07,emp_08,emp_09,emp_10,emp_11,emp_12
2026/7/1,3.2 ,0.0 ,0.9 ,1.0 ,0.8 ,0.8 ,0.9 ,1.0 ,0.6 ,0.9 ,0.0 ,0.0 
2026/7/2,3.0 ,0.0 ,1.0 ,0.8 ,0.9 ,0.0 ,0.0 ,0.7 ,0.8 ,0.9 ,0.0 ,0.0 
2026/7/3,2.6 ,0.0 ,0.9 ,0.7 ,1.0 ,0.0 ,0.0 ,0.9 ,0.8 ,0.6 ,0.0 ,0.0 
2026/7/4,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2026/7/5,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2026/7/6,0.0 ,0.0 ,0.8 ,0.8 ,0.7 ,0.0 ,0.0 ,0.6 ,0.0 ,0.0 ,0.0 ,0.0 
2026/7/7,0.0 ,0.0 ,0.7 ,0.7 ,0.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.6 ,0.0 ,0.0 
2026/7/8,0.0 ,0.0 ,0.9 ,0.9 ,1.0 ,0.0 ,0.0 ,1.0 ,0.7 ,0.8 ,0.0 ,0.0 
2026/7/9,0.0 ,0.0 ,1.0 ,0.0 ,0.6 ,0.0 ,0.0 ,0.9 ,0.6 ,0.7 ,0.0 ,0.0 
2026/7/10,0.0 ,0.0 ,0.9 ,0.8 ,0.9 ,0.0 ,0.0 ,0.8 ,0.7 ,0.6 ,0.0 ,0.0 
2026/7/11,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2026/7/12,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2026/7/13,1.9 ,0.0 ,0.9 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.7 ,0.0 ,0.0 ,0.0 
2026/7/14,1.4 ,0.0 ,1.1 ,0.6 ,0.9 ,1.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2026/7/15,3.4 ,0.0 ,0.9 ,0.8 ,0.9 ,0.0 ,0.0 ,0.8 ,0.9 ,0.8 ,0.0 ,0.0 
2026/7/16,2.7 ,0.0 ,1.0 ,1.1 ,1.1 ,0.0 ,0.0 ,0.7 ,1.1 ,1.0 ,0.0 ,0.0 
2026/7/17,3.4 ,0.0 ,1.0 ,0.9 ,1.0 ,0.0 ,0.0 ,0.6 ,1.0 ,0.9 ,0.0 ,0.0 
2026/7/18,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2026/7/19,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2026/7/20,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2026/7/21,2.4 ,0.0 ,0.8 ,0.0 ,0.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2026/7/22,2.4 ,0.0 ,0.9 ,0.9 ,0.8 ,0.0 ,0.0 ,0.6 ,0.8 ,0.7 ,0.0 ,0.0 
2026/7/23,1.9 ,0.0 ,1.0 ,0.5 ,1.0 ,0.0 ,0.0 ,1.0 ,0.5 ,0.8 ,0.0 ,0.0 
2026/7/24,2.5 ,0.0 ,0.9 ,0.9 ,0.8 ,0.0 ,0.0 ,0.6 ,0.9 ,0.7 ,0.0 ,0.0 
2026/7/25,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2026/7/26,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2026/7/27,1.7 ,0.0 ,0.9 ,0.7 ,1.0 ,0.0 ,0.0 ,0.0 ,0.9 ,0.0 ,0.0 ,0.0 
2026/7/28,1.8 ,0.0 ,0.7 ,0.6 ,0.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2026/7/29,1.5 ,0.0 ,0.8 ,1.1 ,0.6 ,0.0 ,0.0 ,0.8 ,0.7 ,0.6 ,0.0 ,0.0 
2026/7/30,3.2 ,0.0 ,0.7 ,0.0 ,0.8 ,0.0 ,0.0 ,0.8 ,0.5 ,0.5 ,0.0 ,0.0 
2026/7/31,2.0 ,0.0 ,0.9 ,0.5 ,0.6 ,0.0 ,0.0 ,1.0 ,0.8 ,0.6 ,0.0 ,0.0 
